Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes,Observation_Year,Observation_Month,Observation_Day
48,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.4,316.6,Subadult,Female,2012-03-25,Venezuela,Large Rivers,Critically Endangered,Tiffany Miller,Budget share paper so difficult mission late kind team.,2012,3,25
49,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.43,96.9,Adult,Male,2015-12-09,Sierra Leone,Swamps,Critically Endangered,Elizabeth Oliver DDS,Way debate decision produce church community avoid.,2015,12,9
50,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.51,87.4,Subadult,Female,2019-06-28,Indonesia (Papua),Swamps,Least Concern,Jerry Wheeler,Allow explain executive teacher author.,2019,6,28
51,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.57,229.3,Adult,Female,2014-07-18,USA (Florida),Mangroves,Vulnerable,Dennis Moody,Product value interesting name positive training step author coach film see notice eye buy.,2014,7,18
52,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.96,149.9,Adult,Unknown,2009-02-25,Sierra Leone,Shaded Forest Rivers,Critically Endangered,Melissa Bender,Music just our threat same page ago director purpose team onto again share start office several.,2009,2,25
53,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.96,31.8,Juvenile,Male,2020-11-18,Thailand,Swamps,Critically Endangered,Joseph Ramos,Consider one play man before.,2020,11,18
54,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.83,953.9,Adult,Unknown,2011-05-19,Papua New Guinea,Coastal Wetlands,Least Concern,Gary Santiago,Form really explain war spend nearly lawyer fire follow wife.,2011,5,19
55,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.97,120.1,Subadult,Female,2018-08-07,Papua New Guinea,Rivers,Least Concern,Jose Travis,Left approach million performance material kind appear environment capital explain thing machine ahead picture son.,2018,8,7
56,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,1.77,71.7,Juvenile,Female,2019-10-25,Guinea,Shaded Forest Rivers,Critically Endangered,Emily Smith,Behavior yeah tree left brother strategy marriage respond meeting event.,2019,10,25
57,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,0.43,93.9,Hatchling,Female,2006-08-07,Venezuela,Flooded Savannas,Critically Endangered,Veronica Sanchez,Certain course out second carry attorney significant take future skin environment.,2006,8,7
58,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.05,70.8,Juvenile,Unknown,2025-08-30,Malaysia (Borneo),Estuarine Systems,Data Deficient,Nicholas Monroe,Your majority chance Mrs generation necessary myself lay focus.,2025,8,30
59,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.26,91.6,Subadult,Male,2010-02-19,Nigeria,Shaded Forest Rivers,Critically Endangered,Michael Armstrong,Task improve fish list tree high write society.,2010,2,19
60,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.43,818.2,Adult,Male,2015-07-18,Indonesia,Coastal Wetlands,Least Concern,Brittany Hanna,Maybe opportunity thank them key moment lead reveal.,2015,7,18
61,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,3.04,133.9,Adult,Unknown,2005-10-28,Indonesia (Papua),Lakes,Least Concern,Matthew Moore,Sit enter perhaps however bag forget purpose move west phone thought maintain must.,2005,10,28
62,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.56,136.2,Adult,Unknown,2015-05-13,Vietnam,Slow Rivers,Critically Endangered,Cynthia Cohen,Young section its better plant their kitchen really.,2015,5,13
63,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.18,12.5,Adult,Female,2014-10-30,Cameroon,Small Streams,Vulnerable,Amber Flynn,Grow issue each include radio conference.,2014,10,30
64,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.78,383.2,Adult,Male,2015-05-09,Kenya,Lakes,Least Concern,Leon Reyes,Marriage on discussion point least project together let explain national available.,2015,5,9
65,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.93,46.7,Adult,Female,2009-04-11,Australia,Freshwater Rivers,Least Concern,Victoria Evans,Real lead few yourself table blood high grow fast recognize against.,2009,4,11
66,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.56,106.5,Adult,Male,2015-01-07,Malaysia (Borneo),Estuarine Systems,Data Deficient,Jennifer Smith,Treat seat strategy total simply discover soon.,2015,1,7
67,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.25,19.3,Subadult,Female,2013-08-29,Congo (DRC),Slow Streams,Data Deficient,Connor King,Pick tough position final.,2013,8,29
68,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.23,81.8,Adult,Female,2005-05-06,Cuba,Swamps,Critically Endangered,Kevin Oconnor,Travel force indeed customer skill.,2005,5,6
69,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.66,262.6,Adult,Unknown,2024-04-10,Venezuela,Brackish Rivers,Vulnerable,Holly Shaw,Store either station loss southern second full boy while cell.,2024,4,10
70,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.85,67.3,Subadult,Male,2014-12-14,Cameroon,Swamps,Endangered,Shannon Ramsey,Whose source hand so add Mr.,2014,12,14
71,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.9,629.7,Subadult,Male,2006-10-09,Philippines,Coastal Wetlands,Least Concern,Michael Chambers,Herself police he push likely people wall foreign particular positive play less.,2006,10,9
72,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.2,38.0,Juvenile,Unknown,2011-09-17,Congo Basin Countries,Swamps,Endangered,Marie Wilson,Watch fight manage best thought career.,2011,9,17
73,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.9,165.4,Adult,Female,2005-06-29,Nigeria,Swamps,Critically Endangered,Michael Paul,Industry score choice increase between majority impact week allow have kitchen wear.,2005,6,29
74,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.34,596.2,Subadult,Female,2009-11-30,Egypt,Lakes,Least Concern,Ariana Jennings,Top population art every why we station begin deep police wife anything.,2009,11,30
75,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.63,107.9,Adult,Unknown,2007-12-13,Cuba,Swamps,Critically Endangered,William Buchanan,Attention share debate democratic thank forget challenge too able.,2007,12,13
76,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.54,103.3,Adult,Male,2010-10-07,Malaysia (Borneo),Estuarine Systems,Data Deficient,Brianna Anderson,Sometimes body term capital group small open administration enter camera.,2010,10,7
77,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.15,75.1,Adult,Female,2023-12-21,Guatemala,Rivers,Least Concern,Brian Brown,Sing message board mean war analysis situation term.,2023,12,21
78,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.13,86.4,Adult,Unknown,2013-05-02,Mali,Oases,Least Concern,Judith Maynard,Your suggest international blue Republican kitchen.,2013,5,2
79,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.69,63.7,Juvenile,Female,2019-07-25,Gabon,Forest Rivers,Endangered,Erica Hernandez,Every plan nature foot yes most.,2019,7,25
80,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.07,791.7,Adult,Female,2018-03-05,Malaysia,Mangroves,Least Concern,Larry Garcia,Table prepare shoulder result Democrat later direction fund.,2018,3,5
81,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.1,41.1,Juvenile,Female,2017-03-19,Guatemala,Rivers,Least Concern,Jason Davis,Fine effort well rather listen before.,2017,3,19
82,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,3.02,180.7,Adult,Male,2022-08-25,Niger,Rivers,Least Concern,Jeffrey Garner,Speech news only no form business government program.,2022,8,25
83,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.6,47.0,Subadult,Male,2011-03-22,Philippines,Freshwater Marshes,Critically Endangered,Shawna Griffith,Outside goal official defense prevent difference board suddenly happen several off southern suddenly.,2011,3,22
84,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,1.25,36.3,Juvenile,Male,2015-09-07,Vietnam,Swamps,Critically Endangered,Sabrina Austin,Ago upon stop environment Congress reflect finally fund accept thank not husband center plan air second Democrat information.,2015,9,7
85,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.31,90.9,Adult,Female,2015-04-11,Guatemala,Swamps,Least Concern,Jacob Griffith,Other third choose senior anyone bank kitchen.,2015,4,11
86,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.79,34.2,Juvenile,Unknown,2017-04-20,Congo Basin Countries,Swamps,Endangered,Lawrence Perry,Sense box involve exist question main project animal house out.,2017,4,20
87,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.23,13.1,Adult,Unknown,2021-03-03,Sierra Leone,Small Streams,Vulnerable,Eric Clark,Share face build market issue can mouth discover next property.,2021,3,3
88,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.82,159.3,Subadult,Unknown,2025-09-14,Pakistan,Lakes,Vulnerable,James Harmon,Affect TV television office of remember individual boy.,2025,9,14
89,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,2.76,152.5,Adult,Unknown,2017-08-07,Costa Rica,Coastal Lagoons,Vulnerable,Frederick Solis,Least ready gun join black job hundred bad that second develop single baby plan most create.,2017,8,7
90,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.45,75.8,Subadult,Unknown,2009-10-09,Papua New Guinea,Rivers,Least Concern,Heather Mullen,Door chair culture own set pretty concern.,2009,10,9
91,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.51,102.4,Subadult,Unknown,2018-10-06,Guatemala,Lagoons,Least Concern,Kathleen Webster,Large under north play person ten physical character attention kind field ever argue medical financial later arm story.,2018,10,6
92,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.32,309.5,Subadult,Unknown,2013-12-28,Kenya,Lakes,Least Concern,Sean Wyatt,Order his oil west school American training occur.,2013,12,28
93,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.88,273.6,Adult,Unknown,2018-05-17,Mexico,Coastal Lagoons,Vulnerable,Larry Mason,Late specific study word base.,2018,5,17
94,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.96,133.2,Juvenile,Male,2011-05-10,Colombia,Flooded Savannas,Critically Endangered,Amanda Zimmerman,Model particular hair truth hold simple.,2011,5,10
95,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,1.21,54.8,Juvenile,Male,2016-02-27,Pakistan,Rivers,Vulnerable,Amy Mccoy,At behind question exist rich prevent trade their.,2016,2,27
96,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.7,131.1,Subadult,Female,2025-08-30,Mali,Lakes,Least Concern,Kevin Thomas,Financial prevent product can remember be next poor foreign campaign reflect water.,2025,8,30
97,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,3.08,188.3,Adult,Female,2006-12-23,Chad,Rivers,Least Concern,Susan Davis DDS,Gun guy Congress degree way main difficult case baby such big.,2006,12,23
98,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.4,91.7,Subadult,Male,2016-11-25,Indonesia (Borneo),Estuarine Systems,Data Deficient,Sandy Stephenson,Product then peace others child Congress realize.,2016,11,25
99,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.71,125.3,Adult,Male,2022-05-03,Cuba,Swamps,Critically Endangered,Stephanie Griffith,Improve put down know expect security large move.,2022,5,3
100,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.21,64.9,Subadult,Unknown,2006-08-31,Indonesia (Papua),Swamps,Least Concern,Robert Harrison,Happy water worker left example high month whom stage soon.,2006,8,31
101,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.86,760.5,Adult,Unknown,2013-08-16,Papua New Guinea,Estuaries,Least Concern,David Davidson,Never bill suffer surface expect several evening town challenge join watch develop later.,2013,8,16
102,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.27,76.7,Adult,Unknown,2019-06-30,Philippines,Freshwater Marshes,Critically Endangered,Alexander Brown,Hear history bank different five between research friend certainly although true.,2019,6,30
103,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.58,109.7,Adult,Female,2006-06-24,Liberia,Shaded Forest Rivers,Critically Endangered,Ronald Blake,Large accept bad eight strong nature road month book explain feeling answer information soldier lead book.,2006,6,24
104,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.54,104.3,Subadult,Female,2011-12-17,Senegal,Oases,Least Concern,Linda Smith,Offer responsibility fact ability good number cost property model guess well name skill medical after.,2011,12,17
105,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.93,147.4,Adult,Unknown,2020-10-06,Cuba,Swamps,Critically Endangered,Amanda Hughes,Effect administration small general run pick sign same forward and national spend compare single.,2020,10,6
106,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.26,74.5,Adult,Unknown,2024-10-27,Papua New Guinea,Rivers,Least Concern,Michael Welch,As simply leader fall analysis current.,2024,10,27
107,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.28,104.8,Adult,Male,2014-03-20,Niger,Oases,Least Concern,Timothy Robertson,List already positive experience television answer pretty event son join hundred.,2014,3,20
108,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.07,199.3,Adult,Male,2013-04-02,Nigeria,Swamps,Critically Endangered,Tyler Morgan,Many marriage under mind song risk bad own state nation.,2013,4,2
109,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.57,82.1,Adult,Female,2006-03-04,Australia,Billabongs,Least Concern,Bobby Guerrero,Knowledge response coach know language risk treatment past itself police social arm provide.,2006,3,4
110,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.46,100.2,Subadult,Male,2025-06-03,Mexico,Rivers,Least Concern,Jose Brady,Well central parent sit alone attack sing hand.,2025,6,3
111,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,1.77,159.9,Juvenile,Unknown,2019-07-31,Tanzania,Lakes,Least Concern,Keith Jacobs,We head several off morning huge power economic box.,2019,7,31
112,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.59,402.7,Subadult,Female,2009-11-02,India,Coastal Wetlands,Least Concern,Kathryn Hughes,Brother simple region Democrat partner really your customer career.,2009,11,2
113,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.59,37.4,Juvenile,Unknown,2005-05-15,Australia,Gorges,Least Concern,Christopher Reeves,Specific whose worry property remember.,2005,5,15
114,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.77,38.1,Juvenile,Unknown,2017-03-16,Australia,Billabongs,Least Concern,Donna Evans,Republican until point soldier meeting building cut catch so ago.,2017,3,16
115,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.68,692.4,Adult,Unknown,2021-06-28,Indonesia,Mangroves,Least Concern,Jackie Lara,Candidate this assume huge response long improve.,2021,6,28
116,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.32,163.4,Adult,Unknown,2009-02-02,Papua New Guinea,Freshwater Wetlands,Least Concern,Kenneth Martinez,Politics last quite general there sister policy consider whom item treat area buy.,2009,2,2
117,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.1,827.2,Subadult,Female,2011-02-17,Australia,Tidal Rivers,Least Concern,Christopher Morris,Generation wait thus suffer economy play nearly by field move.,2011,2,17
